Nome: ALEGRETE
Codigo Estacao: A826
Latitude: -29.70916666
Longitude: -55.52555554
Altitude: 120.88
Situacao: Operante
Data Inicial: 2007-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2007-01-31;86,4;25,152688;
2007-02-28;208,6;24,67247;
2007-03-31;196,2;23,88116;
2007-04-30;112,8;21,03625;
2007-05-31;46;13,407983;
2007-06-30;99,6;13,282156;
2007-07-31;50,2;10,893587;
2007-08-31;99,6;12,730485;
2007-09-30;159,4;18,677083;
2007-10-31;128,8;20,655108;
2007-11-30;null;21,108333;
2007-12-31;44;24,608199;
2008-01-31;162,8;24,99086;
2008-02-29;129,6;24,41092;
2008-03-31;88;23,068011;
2008-04-30;103;18,514861;
2008-05-31;137,8;15,101534;
2008-06-30;138,2;11,750892;
2008-07-31;null;15,299819;
2008-08-31;109,2;14,408468;
2008-09-30;93,2;15,112361;
2008-10-31;280,4;19,34207;
2008-11-30;26,2;23,094771;
2008-12-31;41,6;24,429973;
2009-01-31;29,6;24,605528;
2009-02-28;106;24,958036;
2009-03-31;143,2;23,157796;
2009-04-30;23,2;19,751667;
2009-05-31;84,8;17,140054;
2009-06-30;37,8;11,424028;
2009-07-31;61,2;10,567473;
2009-08-31;86,4;16,542204;
2009-09-30;205,4;15,784722;
2009-10-31;120,2;19,390805;
2009-11-30;382;23,234318;
2009-12-31;null;25,086508;
2010-01-31;391,4;24,638508;
2010-02-28;null;null;
2010-03-31;null;null;
2010-04-30;null;null;
2010-05-31;100,2;15,477688;
2010-06-30;50,8;14,075139;
2010-07-31;246;13,011694;
2010-08-31;20,2;14,123563;
2010-09-30;320;16,723194;
2010-10-31;56,6;18,229301;
2010-11-30;23,6;21,219167;
2010-12-31;95,8;24,639516;
2011-01-31;90,6;26,375941;
2011-02-28;234,8;24,362351;
2011-03-31;141,2;22,873393;
2011-04-30;139,2;19,674306;
2011-05-31;63,8;15,838441;
2011-06-30;90,2;13,166805;
2011-07-31;112,6;12,341667;
2011-08-31;136;14,318817;
2011-09-30;65,6;16,901528;
2011-10-31;189,6;19,134677;
2011-11-30;67,4;22,624028;
2011-12-31;124,4;22,905914;
2012-01-31;7,4;25,848253;
2012-02-29;66,6;26,372988;
2012-03-31;43,4;23,328764;
2012-04-30;120;18,861389;
2012-05-31;42,4;17,844892;
2012-06-30;60,2;13,659444;
2012-07-31;76,8;11,374866;
2012-08-31;69,4;18,71375;
2012-09-30;85,6;17,84125;
2012-10-31;null;null;
2012-11-30;42,4;23,766944;
2012-12-31;373,4;24,501613;
2013-01-31;124;23,786694;
2013-02-28;213,8;23,691815;
2013-03-31;184,6;20,572126;
2013-04-30;133,8;19,190833;
2013-05-31;194,6;15,472581;
2013-06-30;null;13,328188;
2013-07-31;147,4;13,307433;
2013-08-31;42,2;12,599462;
2013-09-30;33;16,914167;
2013-10-31;100,6;19,614084;
2013-11-30;null;null;
2013-12-31;null;null;
2014-01-31;211,2;26,105511;
2014-02-28;139,6;25,215774;
2014-03-31;233,8;21,319892;
2014-04-30;42,6;19,659444;
2014-05-31;226,6;15,508602;
2014-06-30;119,2;13,652917;
2014-07-31;115,8;14,595968;
2014-08-31;20,8;15,860081;
2014-09-30;null;17,800556;
2014-10-31;126,8;21,37043;
2014-11-30;96,6;22,867554;
2014-12-31;null;23,747683;
2015-01-31;null;null;
2015-02-28;null;24,348667;
2015-03-31;74,4;23;
2015-04-30;46,2;20,026111;
2015-05-31;142;16,970296;
2015-06-30;106,4;14,945833;
2015-07-31;169,6;14,28871;
2015-08-31;82;19,058333;
2015-09-30;85,2;16,856667;
2015-10-31;386,2;18,404032;
2015-11-30;165,8;20,730694;
2015-12-31;422,2;23,430108;
2016-01-31;108,6;25,85;
2016-02-29;158,8;25,318247;
2016-03-31;135;21,314785;
2016-04-30;235;20,789444;
2016-05-31;101,6;13,872984;
2016-06-30;77,8;10,769583;
2016-07-31;86,6;13,143683;
2016-08-31;99,4;15,709677;
2016-09-30;29,8;15,597083;
2016-10-31;287,8;19,12285;
2016-11-30;226;21,405556;
2016-12-31;191,4;24,268145;
2017-01-31;null;null;
2017-02-28;null;null;
2017-03-31;null;null;
2017-04-30;213,8;18,989861;
2017-05-31;268,4;17,079301;
2017-06-30;90,2;14,865629;
2017-07-31;null;null;
2017-08-31;null;16,931887;
2017-09-30;null;19,24181;
2017-10-31;163,8;19,410379;
2017-11-30;95,2;20,990051;
2017-12-31;117,2;24,664305;
2018-01-31;140;24,73078;
2018-02-28;107,2;23,897024;
2018-03-31;199,4;22,253579;
2018-04-30;58,4;22,751389;
2018-05-31;154,6;17,065646;
2018-06-30;170,8;11,489404;
2018-07-31;51;12,928091;
2018-08-31;194,4;12,89422;
2018-09-30;209,2;19,003624;
2018-10-31;200,4;19,756452;
2018-11-30;179,2;22,931389;
2018-12-31;150,4;23,784543;
2019-01-31;507,6;24,991515;
2019-02-28;62,8;23,97247;
2019-03-31;120,6;21,803495;
2019-04-30;null;null;
2019-05-31;188,2;17,8575;
2019-06-30;11,8;17,73875;
2019-07-31;152;13,004435;
2019-08-31;43,4;14,48582;
2019-09-30;62,2;16,523333;
2019-10-31;237,8;20,286962;
