Nome: BAGE
Codigo Estacao: A827
Latitude: -31.34777777
Longitude: -54.01333333
Altitude: 226.19
Situacao: Operante
Data Inicial: 2007-01-03
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2007-01-31;null;22,88071;
2007-02-28;117,8;23,429128;
2007-03-31;91,6;22,294729;
2007-04-30;62,8;19,470513;
2007-05-31;26,8;11,98054;
2007-06-30;196;11,762427;
2007-07-31;74,4;9,577307;
2007-08-31;183,8;11,074275;
2007-09-30;66,2;17,424028;
2007-10-31;142,8;18,631183;
2007-11-30;null;19,025333;
2007-12-31;85;22,518548;
2008-01-31;72;23,074731;
2008-02-29;125;22,540426;
2008-03-31;55,4;21,25672;
2008-04-30;76,8;17,729904;
2008-05-31;null;null;
2008-06-30;181,2;10,748871;
2008-07-31;104;14,665024;
2008-08-31;138;12,554032;
2008-09-30;82;13,241389;
2008-10-31;86,8;17,124059;
2008-11-30;36,2;20,938194;
2008-12-31;108,6;21,692473;
2009-01-31;123;22,11035;
2009-02-28;143,2;22,444345;
2009-03-31;56,6;21,421102;
2009-04-30;3,2;18,336389;
2009-05-31;133,8;15,989651;
2009-06-30;44,2;10,666667;
2009-07-31;53,6;9,398656;
2009-08-31;207,2;14,915054;
2009-09-30;221,8;14,13625;
2009-10-31;107,4;16,792098;
2009-11-30;473,4;21,105139;
2009-12-31;120,2;21,585484;
2010-01-31;138,4;23,248228;
2010-02-28;181,2;23,526042;
2010-03-31;80,6;21,659274;
2010-04-30;85,8;17,720833;
2010-05-31;73,2;15,003898;
2010-06-30;92;12,679583;
2010-07-31;259,8;11,992473;
2010-08-31;39,4;12,312198;
2010-09-30;115,6;15,276806;
2010-10-31;,2;15,961425;
2010-11-30;4,6;18,6125;
2010-12-31;57,4;23,174597;
2011-01-31;73,2;25,039247;
2011-02-28;88,8;22,97872;
