Nome: ERECHIM
Codigo Estacao: A828
Latitude: -27.65777777
Longitude: -52.30583333
Altitude: 777.08
Situacao: Operante
Data Inicial: 2007-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2007-01-31;162,8;21,945699;
2007-02-28;134,4;21,608644;
2007-03-31;119;21,952969;
2007-04-30;5,6;19,031703;
2007-05-31;205,8;12,685127;
2007-06-30;38,8;14,676992;
2007-07-31;153;11,37651;
2007-08-31;119;13,7578;
2007-09-30;48,2;18,45463;
2007-10-31;136,6;18,900691;
2007-11-30;null;19,155435;
2007-12-31;118,2;21,95457;
2008-01-31;86,4;21,25;
2008-02-29;85,4;21,073276;
2008-03-31;144,4;20,026613;
2008-04-30;226;16,966135;
2008-05-31;null;14,755246;
2008-06-30;null;11,283382;
2008-07-31;27,8;16,094345;
2008-08-31;null;15,301894;
2008-09-30;null;14,362326;
2008-10-31;null;17,055662;
2008-11-30;153;19,431016;
2008-12-31;30,2;21,201389;
2009-01-31;141,2;20,690278;
2009-02-28;157;21,640492;
2009-03-31;36,8;21,10121;
2009-04-30;15,2;19,359914;
2009-05-31;null;16,846558;
2009-06-30;null;11,758369;
2009-07-31;null;10,230925;
2009-08-31;null;16,311748;
2009-09-30;null;15,198548;
2009-10-31;144,2;17,948994;
2009-11-30;274,6;21,845833;
2009-12-31;173,6;21,963844;
2010-01-31;157,6;21,720846;
2010-02-28;140,2;22,761905;
2010-03-31;115,4;20,459543;
2010-04-30;242;17,386944;
2010-05-31;187,8;13,782796;
2010-06-30;85,2;13,539583;
2010-07-31;195,2;13,001613;
2010-08-31;64,4;13,914596;
2010-09-30;195,4;15,499306;
2010-10-31;107,8;16,041801;
2010-11-30;114,6;18,848889;
2010-12-31;262,8;20,504032;
2011-01-31;129,8;22,350269;
2011-02-28;205,4;21,26503;
2011-03-31;160,6;19,913427;
2011-04-30;100,6;18,186111;
2011-05-31;84,4;14,030511;
2011-06-30;248,2;11,728611;
2011-07-31;292;12,992339;
2011-08-31;237,2;13,568145;
2011-09-30;100,6;15,07875;
2011-10-31;149,8;17,854704;
2011-11-30;116,8;19,185556;
2011-12-31;16,4;20,69879;
2012-01-31;70,6;21,618683;
2012-02-29;21,2;23,13046;
2012-03-31;3;20,339516;
2012-04-30;25;17,799306;
2012-05-31;20,4;15,119489;
2012-06-30;172,6;12,955417;
2012-07-31;240,6;12,180645;
2012-08-31;13,4;16,816806;
2012-09-30;113,8;16,599028;
2012-10-31;108,4;18,346102;
2012-11-30;40,2;21,137639;
2012-12-31;177,2;22,632527;
2013-01-31;152;20,718145;
2013-02-28;188,2;20,848214;
2013-03-31;183,8;18,312787;
2013-04-30;127,8;17,556528;
2013-05-31;113,2;14,836962;
2013-06-30;150;13,429141;
2013-07-31;94,2;12,425403;
2013-08-31;318;12,613978;
2013-09-30;188,2;15,34375;
2013-10-31;179;17,190995;
2013-11-30;148,8;20,166667;
2013-12-31;149,6;22,321909;
2014-01-31;202,6;22,505914;
2014-02-28;232,6;22,439435;
2014-03-31;232,4;19,551882;
2014-04-30;null;18,589333;
2014-05-31;null;null;
2014-06-30;null;null;
2014-07-31;null;13,255376;
2014-08-31;null;15,327688;
2014-09-30;289,2;16,868472;
2014-10-31;115,6;19,547312;
2014-11-30;159,4;20,561944;
2014-12-31;200;21,355242;
2015-01-31;307,6;21,508804;
2015-02-28;207,2;21,211607;
2015-03-31;25,8;20,767876;
2015-04-30;17,6;18,274144;
2015-05-31;null;14,389195;
2015-06-30;null;14,345973;
2015-07-31;null;13,061343;
2015-08-31;51,2;18,241532;
2015-09-30;288,8;16,928889;
2015-10-31;248,8;18,772984;
2015-11-30;236;19,372917;
2015-12-31;435,6;21,246774;
2016-01-31;null;22,813844;
2016-02-29;null;22,325;
2016-03-31;null;19,497446;
2016-04-30;64;20,329028;
2016-05-31;null;13,995395;
2016-06-30;null;null;
2016-07-31;null;12,298189;
2016-08-31;179,2;14,507527;
2016-09-30;55,6;14,847083;
2016-10-31;227,6;17,355744;
2016-11-30;61;19,483056;
2016-12-31;173,8;21,076805;
2017-01-31;228;21,763075;
2017-02-28;151;22,144048;
2017-03-31;157,8;20,289785;
2017-04-30;191,4;17,168056;
2017-05-31;454;15,90625;
2017-06-30;null;13,597902;
2017-07-31;11;13,867385;
2017-08-31;null;15,309601;
2017-09-30;null;19,794445;
2017-10-31;113,4;17,555914;
2017-11-30;53;18,794583;
2017-12-31;22,8;22,130108;
2018-01-31;102,6;21,227552;
2018-02-28;null;20,819737;
2018-03-31;null;21,373287;
2018-04-30;null;null;
