Nome: RIO GRANDE
Codigo Estacao: A802
Latitude: -32.07888888
Longitude: -52.16777777
Altitude: 4.92
Situacao: Operante
Data Inicial: 2007-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2007-01-31;28,6;23,844893;
2007-02-28;83,6;24,150893;
2007-03-31;132;23,380833;
2007-04-30;135,4;20,665417;
2007-05-31;103,6;13,450859;
2007-06-30;220,2;12,300356;
2007-07-31;98,2;10,727213;
2007-08-31;198;11,366805;
2007-09-30;122,6;16,071413;
2007-10-31;86,4;18,725634;
2007-11-30;null;18,632212;
2007-12-31;55,2;22,342607;
2008-01-31;null;null;
2008-02-29;null;null;
2008-03-31;null;22,829321;
2008-04-30;30;18,915833;
2008-05-31;167,2;15,923376;
2008-06-30;61,4;12,637628;
2008-07-31;89,6;15,176882;
2008-08-31;238,8;13,415323;
2008-09-30;118,2;14,879167;
2008-10-31;32,2;17,942608;
2008-11-30;25,2;20,821806;
2008-12-31;41,4;21,812231;
2009-01-31;101,8;22,757854;
2009-02-28;205,6;23,678869;
2009-03-31;103,2;22,715188;
2009-04-30;33,4;19,912083;
2009-05-31;69,6;17,039382;
2009-06-30;118,2;12,043194;
2009-07-31;32,4;10,717608;
2009-08-31;134,6;15,11707;
2009-09-30;null;null;
2009-10-31;null;null;
2009-11-30;null;21,335714;
2009-12-31;91,2;21,888038;
2010-01-31;3,4;24,068316;
2010-02-28;258;24,98378;
2010-03-31;32;22,897966;
2010-04-30;102,2;19,618237;
2010-05-31;163,2;17,304231;
2010-06-30;87;14,20788;
2010-07-31;215;12,916573;
2010-08-31;12;13,009721;
2010-09-30;27,8;15,941629;
2010-10-31;10,4;16,742723;
2010-11-30;38,6;18,701528;
2010-12-31;40,6;22,326747;
2011-01-31;36,4;24,800403;
2011-02-28;133,2;23,799554;
2011-03-31;281,4;22,215559;
2011-04-30;98;19,619722;
2011-05-31;146,2;16,350403;
2011-06-30;126,6;13,061389;
2011-07-31;41,8;11,563441;
2011-08-31;147,2;12,757661;
2011-09-30;54,6;14,824722;
2011-10-31;71,4;17,526882;
2011-11-30;45,6;20,140833;
2011-12-31;48,2;20,835618;
2012-01-31;39,2;23,224597;
2012-02-29;79,2;24,776724;
2012-03-31;131,4;22,311694;
2012-04-30;83,8;18,1875;
2012-05-31;12,4;17,794624;
2012-06-30;81,2;12,782917;
2012-07-31;107,6;10,894355;
2012-08-31;120,6;16,731806;
2012-09-30;132;16,565695;
2012-10-31;36,8;19,130511;
2012-11-30;36,2;21,53875;
2012-12-31;138,2;23,902419;
